iter	RMSE
0	38.03161909
1	37.39478066
2	36.82157973
3	36.25161716
4	35.70755513
5	35.17049252
6	34.65389452
7	34.20387683
8	33.73865679
9	33.27829528
10	32.84970185
11	32.44406969
12	32.04756453
13	31.66493688
14	31.29242437
15	30.95865454
16	30.61868586
17	30.30665946
18	30.01066583
19	29.72495116
20	29.46190525
21	29.20851488
22	28.92871641
23	28.6795499
24	28.44164134
25	28.22797562
26	28.01990816
27	27.82848804
28	27.62287279
29	27.44132175
30	27.26679949
31	27.09550152
32	26.93300878
33	26.78285868
34	26.63788109
35	26.46387076
36	26.30975297
37	26.16420397
38	26.02370876
39	25.8860123
40	25.77466129
41	25.63406925
42	25.50689408
43	25.38214637
44	25.27971494
45	25.17065048
46	25.06795574
47	24.97272183
48	24.87406509
49	24.78668998
50	24.71407122
51	24.63536873
52	24.56251518
53	24.49112988
54	24.39579104
55	24.31087427
56	24.23455008
57	24.15926323
58	24.08450839
59	24.02426648
60	23.96674648
61	23.89868118
62	23.83788071
63	23.78142292
64	23.72847726
65	23.66076975
66	23.61097953
67	23.55870395
68	23.50727601
69	23.45280205
70	23.41493897
71	23.36265818
72	23.31232629
73	23.25725829
74	23.20890679
75	23.15858509
76	23.10666105
77	23.07758927
78	23.04891194
79	23.00996207
80	22.97740773
81	22.93077433
82	22.87606123
83	22.84106201
84	22.8024066
85	22.75320467
86	22.71046015
87	22.6785615
88	22.64763938
89	22.60962325
90	22.56415327
91	22.52510835
92	22.48436799
93	22.43420549
94	22.40108214
95	22.37133536
96	22.3260165
97	22.30888595
98	22.28151942
99	22.26287851
100	22.23889141
101	22.20386841
102	22.16694283
103	22.13882194
104	22.09879715
105	22.08078737
106	22.06232971
107	22.0349205
108	22.01071373
109	21.99184688
110	21.96187145
111	21.95359029
112	21.93755162
113	21.92321973
114	21.88341737
115	21.85218032
116	21.83329895
117	21.819478
118	21.80372239
119	21.77118567
120	21.73535954
121	21.71165615
122	21.68342933
123	21.6635931
124	21.63890659
125	21.61651677
126	21.60695138
127	21.57221387
128	21.54749244
129	21.52025687
130	21.49727536
131	21.47024582
132	21.44230557
133	21.43084846
134	21.39537614
135	21.37360403
136	21.34908619
137	21.32844122
138	21.31838512
139	21.30066633
140	21.28336547
141	21.26117577
142	21.23791987
143	21.22710531
144	21.21633297
145	21.18549032
146	21.15987366
147	21.13549118
148	21.11616604
149	21.09983052
150	21.08936831
151	21.07225514
152	21.05628834
153	21.04827709
154	21.03350025
155	21.01395407
156	20.99471302
157	20.98667072
158	20.97416283
159	20.95600878
160	20.93225057
161	20.91121981
162	20.89456049
163	20.88374239
164	20.8632998
165	20.85110187
166	20.83378691
167	20.82440222
168	20.81116652
169	20.8070004
170	20.78365808
171	20.758602
172	20.73799256
173	20.72225307
174	20.69861183
175	20.69307656
176	20.67562621
177	20.65990353
178	20.64507174
179	20.63389049
180	20.62090466
181	20.61114283
182	20.60221277
183	20.5980597
184	20.57849898
185	20.55984165
186	20.54057732
187	20.51816886
188	20.50774013
189	20.49598911
190	20.48576613
191	20.47926862
192	20.47409215
193	20.44710682
194	20.4323041
195	20.4257981
196	20.40485795
197	20.39830363
198	20.38217995
199	20.36505601
200	20.35047973
201	20.33481068
202	20.33099367
203	20.31322837
204	20.28969153
205	20.28237684
206	20.26497415
207	20.25960235
208	20.2494335
209	20.23191957
210	20.22592646
211	20.21414547
212	20.20033212
213	20.19779879
214	20.18811375
215	20.1658715
216	20.15135844
217	20.14661922
218	20.14093304
219	20.12997639
220	20.12201861
221	20.11691775
222	20.11107133
223	20.10488794
224	20.08249206
225	20.06639218
226	20.05451431
227	20.03106764
228	20.00775799
229	19.99209812
230	19.9756133
231	19.96219528
232	19.94907282
233	19.93949233
234	19.92220312
235	19.91111181
236	19.90732484
237	19.8918834
238	19.88409771
239	19.87522948
240	19.85935277
241	19.8489693
242	19.83372336
243	19.82815892
244	19.81722656
245	19.81441107
246	19.8099938
247	19.79203346
248	19.78082597
249	19.76964173
250	19.75826457
251	19.74401207
252	19.73151755
253	19.71695762
254	19.70071081
255	19.69375343
256	19.69290337
257	19.68038605
258	19.66929754
259	19.65260475
260	19.63959366
261	19.63578576
262	19.62853612
263	19.61432569
264	19.60395126
265	19.59812782
266	19.59538098
267	19.58551842
268	19.57881993
269	19.57237462
270	19.57030413
271	19.56497613
272	19.5523316
273	19.53432066
274	19.52072738
275	19.51274251
276	19.4971663
277	19.48715254
278	19.48385001
279	19.47157942
280	19.45854487
281	19.45429242
282	19.44120884
283	19.43722124
284	19.42973872
285	19.42686464
286	19.41779492
287	19.41042719
288	19.39892011
289	19.39608061
290	19.37849764
291	19.37484259
292	19.36793481
293	19.36434558
294	19.35740136
295	19.34733652
296	19.33104017
297	19.31591051
298	19.31136446
299	19.29426359
300	19.28964765
301	19.27158579
302	19.2591701
303	19.25824499
304	19.25025809
305	19.24137814
306	19.22009431
307	19.20959923
308	19.20537075
309	19.20264849
310	19.18655582
311	19.18352405
312	19.18084817
313	19.17334978
314	19.15696985
315	19.14670792
316	19.13805606
317	19.13130346
318	19.11736652
319	19.11123998
320	19.09710032
321	19.08728618
322	19.0789698
323	19.07237548
324	19.06313378
325	19.05541469
326	19.05136046
327	19.04775228
328	19.03688625
329	19.01709507
330	19.01232445
331	18.99771805
332	18.99000403
333	18.98738089
334	18.97449571
335	18.96665545
336	18.95387639
337	18.93074654
338	18.92121908
339	18.90006697
340	18.8941991
341	18.8918784
342	18.87468249
343	18.87032531
344	18.85465309
345	18.84638685
346	18.83614725
347	18.82741235
348	18.82047515
349	18.81274312
350	18.80057062
351	18.79208189
352	18.78296511
353	18.76954003
354	18.7661441
355	18.75204461
356	18.74846238
357	18.73950508
358	18.72307772
359	18.71469334
360	18.71069382
361	18.70292656
362	18.69851751
363	18.68542551
364	18.68081159
365	18.66381882
366	18.65375637
367	18.64455498
368	18.63356846
369	18.62209369
370	18.61192367
371	18.60320681
372	18.59572055
373	18.585886
374	18.57036737
375	18.56985955
376	18.56291219
377	18.54673365
378	18.53890709
379	18.52846937
380	18.52576208
381	18.52423148
382	18.51326073
383	18.50939378
384	18.49698573
385	18.48800757
386	18.48003199
387	18.4669676
388	18.45667781
389	18.44249444
390	18.43593165
391	18.42398083
392	18.41879887
393	18.40810653
394	18.40400858
395	18.39233037
396	18.38723157
397	18.38243693
398	18.37915543
399	18.37719848
400	18.37160198
401	18.36176545
402	18.34750871
403	18.33521202
404	18.33373973
405	18.32802464
406	18.3261313
407	18.31893345
408	18.30414458
409	18.29176857
410	18.28165367
411	18.27530152
412	18.26718196
413	18.25214657
414	18.24016468
415	18.23177432
416	18.2304933
417	18.2237821
418	18.21876206
419	18.20914883
420	18.20841977
421	18.19639344
422	18.18662135
423	18.18486643
424	18.18253265
425	18.17635131
426	18.16676441
427	18.16565301
428	18.16540477
429	18.15846387
430	18.15370032
431	18.1475388
432	18.13698055
433	18.13559948
434	18.12067321
435	18.10894597
436	18.10742033
437	18.10444907
438	18.09614617
439	18.08304857
440	18.07127415
441	18.06328362
442	18.04980802
443	18.03850839
444	18.03410447
445	18.02371767
446	18.01520982
447	18.00658547
448	17.99878512
449	17.9986093
450	17.98419929
451	17.97185916
452	17.9632043
453	17.95690604
454	17.94375971
455	17.93535156
456	17.92820951
457	17.92522267
458	17.9149273
459	17.91165645
460	17.90381121
461	17.89951205
462	17.89503679
463	17.88183436
464	17.8765634
465	17.8740318
466	17.86816701
467	17.8580833
468	17.85492256
469	17.84871197
470	17.84612499
471	17.83844962
472	17.83143292
473	17.83051094
474	17.81556797
475	17.80385216
476	17.80365664
477	17.79300905
478	17.78289962
479	17.77761802
480	17.77422932
481	17.76662352
482	17.76012993
483	17.75005438
484	17.74779537
485	17.74218048
486	17.73007885
487	17.72204609
488	17.71477875
489	17.71452776
490	17.71031488
491	17.70647275
492	17.69689775
493	17.68880072
494	17.68523395
495	17.67704834
496	17.67675474
497	17.66977771
498	17.66923325
499	17.66004035
500	17.65069296
501	17.6422689
502	17.63591434
503	17.63399694
504	17.62481439
505	17.61216855
506	17.59995595
507	17.58955836
508	17.5812166
509	17.58086381
510	17.57117623
511	17.5687177
512	17.56841419
513	17.55437844
514	17.5513956
515	17.5444102
516	17.53782621
517	17.53289675
518	17.52917189
519	17.52624072
520	17.5244296
521	17.5137315
522	17.5113381
523	17.50540423
524	17.49420157
525	17.48973116
526	17.47480284
527	17.47282429
528	17.4658736
529	17.46583645
530	17.46094195
531	17.46090661
532	17.45767758
533	17.45365563
534	17.44958833
535	17.44266829
536	17.44019347
537	17.43795239
538	17.42904603
539	17.42302056
540	17.41824938
541	17.41471624
542	17.39559452
543	17.38620871
544	17.38025396
545	17.37323983
546	17.3686153
547	17.36669481
548	17.3665873
549	17.36253241
550	17.3590089
551	17.35420644
552	17.35032922
553	17.35018695
554	17.33729334
555	17.33164407
556	17.32585231
557	17.32002938
558	17.30528291
559	17.29409792
560	17.29024383
561	17.28556232
562	17.27872585
563	17.27062792
564	17.26735506
565	17.25845234
566	17.25227191
567	17.24734065
568	17.2395024
569	17.23501734
570	17.23360347
571	17.22414132
572	17.21115696
573	17.20292421
574	17.19940296
575	17.19444181
576	17.19125845
577	17.1911029
578	17.18428226
579	17.1759749
580	17.1723265
581	17.17206205
582	17.1646273
583	17.16437841
584	17.15319747
585	17.14594741
586	17.14468863
587	17.14452896
588	17.13632329
589	17.12847766
590	17.12505474
591	17.11417171
592	17.11397386
593	17.11126285
594	17.10024798
595	17.09293473
596	17.08522013
597	17.07748722
598	17.06748148
599	17.05918773
600	17.05798655
601	17.04827936
602	17.04824316
603	17.04288058
604	17.03605633
605	17.02564893
606	17.02553369
607	17.01659001
608	17.01141928
609	16.99975893
610	16.99313618
611	16.98645495
612	16.98255341
613	16.97728098
614	16.96570256
615	16.96273652
616	16.96046968
617	16.95317919
618	16.9530476
619	16.94505081
620	16.93969946
621	16.93846645
622	16.93419879
623	16.93064595
624	16.92962163
625	16.92438133
626	16.92118738
627	16.91927876
628	16.91499597
629	16.91479298
630	16.90828667
631	16.89929217
632	16.8992594
